Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Crater.club,Seed,700000,Bangalore,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.",Media,2021,2020,Lc nueva aif
Nftically,Seed,1000000,Gurugram,"Nftically is a global b2b saas that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label nft store or nft marketplace without any technical knowledge.",Nft,2021,2021,Nitish mittersain
Reshamandi,Series A,30000000,Bangalore,"Reshamandi provides a full-stack digital ecosystem in the form of a super app, from farm to retail.",B2b,2021,2020,9unicorns
Zetwerk,Undisclosed,600000000,Bangalore,Zetwerk is a universal manufacturing network powered by new-age technology.,Mechanical or industrial engineering,2021,2018,Tradecred
Hubilo,Series B,125000000,Ahmedabad,Hubilo is the leading hybrid event platform built for engagement and event excellence.,Software startup,2021,2020,Alkeon capital
M2p fintech,Series C,35000000,Chennai,"M2p fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of mobility, commerce and payments.",Financial services,2021,2015,Tiger global
Open financial technologies,Series C,90000000,Bangalore,Open is asia’s first neobanking platform for smes and startups.,Financial services,2021,2017,Temasek
Niro,Seed,3500000,Bangalore,Embedding personal credit products into leading consumer internet platforms.,Financial services,2021,2021,Elevar equity
Wiingy,Undisclosed,400000,Bangalore,The ultimate 1:1 live e-learning platform providing personalized hands-on learning for kids,E-learning,2021,2021,Aroa ventures
Cardekho,Series D,250000000,Jaipur,Redefining the country’s personal mobility ecosystem with technologically enhanced solutions.,Automotive,2021,2008,
Melorra,Undisclosed,24000000,Bangalore,A company that styles jewellery for the contemporary wardrobe.,D2c jewellery,2021,2015,9unicorns
Anka summor,Series B,1000000,Bangalore,"Anka summor is the service that allows businesses to focus on building their brands, while they provide supply & distribution expertise.",Sales and distribution,2021,2017,Inflection point ventures
Toch.ai,Series A,11000000,Mumbai,"Toch is an ai-driven platform that helps broadcasters, ott platforms, media platforms, and creators to revolutionize videos.",Saas,2021,2016,
Playto labs,Seed,500000,Bangalore,Playto labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. book a free trial for your child today at www.playtolabs.com,E-learning,2021,2021,Inflection point ventures
Fraazo,Series B,50000000,Mumbai,Fraazo is mumbai's favourite app for fresh vegetables and fruits coming straight from the farm to your doorstep within 18 hours.,Food and Beverages,2021,2020,Westbridge capital
Arcana,Undisclosed,2300000,Bangalore,Arcana offers a privacy stack sdk to dapp developers on evm compatible blockchains chains to build privacy-first products.,Information technology & services,2021,2019,Republic crypto
Flocareer,Series A,5700000,Bangalore,"The best skills validation platform that provides ""interview as-a-service""?.",Information services,2021,2018,Data point capital
Nap chief,Seed,200000,Mumbai,India's favourite kid's wear and family sleepwear d2c brand,Apparel & fashion,2021,2019,Titan capital
Acknoledger,Seed,1500000,Mumbai,Acknoledger is a global platform that distributes web 3.0 digital assets seamlessly across all the metaverses and gaming,Crypto,2021,2021,Momentum 6
Applicateai,Series A,30000000,Gurugram,"‘applicateai’ is an integrated ai bot platform for enterprise with defined and curated work-flows for sales, consumer engagement and employee support and engagement.",Information technology & services,2021,2014,
Vlcc health care,Undisclosed,4000000,Gurugram,Vlcc is today widely recognized for its comprehensive portfolio of beauty and wellness products and services,Healthcare,2021,1989,
Duroflex,Undisclosed,60000000,Bangalore,"5 decades of experience, superior quality and best in class innovation help us in bringing you a wide range of mattresses, pillows, protectors and other sleep solutions.",Furniture,2021,1963,Norwest venture partners
Aviom india,Series C,8000000,Bhilwara,Aviom india housing finance pvt. ltd. is a venture started by experienced professionals with a vision to improve the standard of living of families from the informal sector in rural areas,Financial services,2021,2016,Sabre partners
Onato,Undisclosed,2200000,Bangalore,A startup solving inefficiencies in the agri supply chain,Computer software,2021,2021,Vertex ventures
Mestastop solutions,Undisclosed,100000,Bangalore,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, metassay, metscan, and metvivo.",Biotechnology,2021,2018,Ciie.co
Saas labs,Series A,17000000,Noida,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",Saas,2021,2016,Base 10 partners
Devnagri,Seed,600000,Noida,"Devnagri is an ai powered human translation platform, working in all 22 indian languages.",Translation & localization,2021,2017,Enture catalyst
Cred,Series D,250000000,Bangalore,Cred is a credit card payment platform that rewards users with points for paying their bills.,Finance,2021,2018,Tiger global
Convegenius,Seed,5000000,Noida,An edtech social enterprise focused on closing the gap in educational achievement for children and youth in india.,Education,2021,2013,Bace capital
Totality,Undisclosed,1000000,Gurugram,"Totality with the goal of combining scalability through technology, innovation through design & retention through content.",Entertainment,2021,2017,Leo capital
Credable,Series B,30000000,Mumbai,Credable provides liquidity programs for enterprise supply chains.,Financial services,2021,2017,Plutus wealth
Marketwolf,Seed,5500000,Mumbai,"Marketwolf provides everyone an opportunity to begin their trading journey with a unique digital platform that is bold, simple and fun.",Financial services,2021,2017,Anil thadani
Wondrlab,Series B,7000000,Mumbai,India's largest platform-first martech startup,Marketing & advertising,2021,2020,Pi ventures llp
Sun mobility,Undisclosed,50000000,Bangalore,Provider of universal energy infrastructure and services to accelerate mass ev usage!,Automotive,2021,2017,Vitol
Tamasha,Series B,3000000,Mumbai,"Tamasha, the next-generation interactive entertainment platform.",Entertainment,2021,2020,Chiratae ventures
Revfin,Series B,4000000,New delhi,"Revfin is a financial technology (fintech) company, advanced digital lending platform makes getting a loan convenient and accessible for customers",Financial services,2021,2017,Ruchirans jaipuria
Yu foodlabs,Series B,1000000,Gurugram,Re-imagining packaged foods with natural ingredients & zero preservatives,Food and Beverages,2021,2020,Manish choksi
Mergerdomo,Undisclosed,500000,New delhi,Mergerdomo is the one-stop global online m&a marketplace for corporate and business growth,Investment banking,2021,2018,Nadir b godrej
Farmart,Series A,10000000,Gurugram,Farmart is an agritech platform that helps businesses easily source high quality produce at reasonable prices.,Farming,2021,2015,Matrix partners india
Questt,Series A,6750000,Gurugram,Questt is a free online homework app that lets teachers assign gamified homework to students.,Edtech,2021,2020,Celesta capital
Idfy,Series D,10000000,Mumbai,Idfy helps people and business build authentic relationships by ensuring that both parties are who they claim to be and can be trusted.,Information technology & services,2021,2011,Transunion
Cleardekho,Series B,4000000,Ghaziabad,Cleardekho is india’s leading affordable eyewear brand.,Retail,2021,2016,Aroa ventures
Bookingjini,Series B,1200000,Gurugram,Bookingjini strive to empower hotels from all aspects ranging from customer outreach to automate their booking process and improve their online presence and revenue to stimulate top-line and bottom-line growth.,Hospitality,2021,2017,Mumbai angels network
Sourcewiz,Seed,3000000,Gurugram,Building a platform for exporters to digitize their workflows and help them grow and manage their business.,Information technology & services,2021,2021,Blume
Tvasta,Undisclosed,400000,Chennai,Developing new-age manufacturing and automation technologies that can increase human productivity by allowing deep personalization.,Mechanical or industrial engineering,2021,2016,Habitat for humanity international
Kafqa academy,Seed,1300000,Bangalore,"Kafqa academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.",E-learning,2021,2021,Global founders capital
Trell,Undisclosed,100000000,Bangalore,Trell is turning over a new leaf with the wave of digitalization sweeping across the nation,Social commerce,2021,2016,Amazon
Storia,Series A,6000000,Mumbai,"Storia foods and beverages is committed to creating products that are natural, full of goodness and promote a healthy lifestyle.",Food and Beverages,2021,2016,Sixth sense ventures
Clear,Series C,75000000,Bangalore,India’s leading fintech saas platform,Computer software,2021,2011,Kora capital
Groww,Series D,250000000,Bangalore,Groww is on a mission to democratize access to financial services for millions of indians responsibly.,Finance,2021,2016,Iconiq growth
The indus valley,Undisclosed,1100000,Chennai,Consumer goodsthe indus valley is a direct to consumer (d2c) healthy kitchenware brand.,Consumer goods,2021,2016,Rukam capital
Bharatpe,Undisclosed,10000000,New delhi,"Bharatpe launched india’s first upi interoperable qr code, first zero mdr payment acceptance service, and first upi payment backed merchant cash advance service.",Financial services,2021,2018,Mas financial services
Teachmint,Series B,78000000,Bangalore,Teachmint is an education infrastructure provider and india’s largest teaching platform.,E-learning,2021,2020,Rocketship.vc
Porter,Series D,100000000,Bangalore,Porter is india's largest marketplace for intra-city logistics.,Logistics & supply chain,2021,2014,Tiger global
O4s,Series A,6000000,Gurugram,O4s saas helps consumer brands to digitize and automate their supply chain thereby increasing sales and performance.,Information technology & services,2021,2017,Think investments
Wobb,Seed,200000,Gurugram,The platform for marketers to find and work with influencers,Marketing,2021,2020,Alok kohli
Basic home loan,Series A,3500000,Gurugram,Basic home loan is india's first automated platform for secured lending with special focus on the affordable housing segment.,Financial services,2021,2020,Venture catalysts
Siply,Series B,3200000,Bangalore,"A tech-enabled micro-savings platform, for the underserved masses, that makes it possible to save starting at re. 1",Financial services,2021,2020,Letsventure
Banksathi,Undisclosed,500000,New delhi,"Banksathi is a fintech platform to empower consumers to save money and time on financial products through safe, easy, and trustable shopping experience.",Financial services,2021,2020,Dinesh godara
Gramophone,Undisclosed,10000000,Indore,"Create a difference in farming by bringing timely information, technology and right kind of inputs to achieve better yields for farmers.",Agritech,2021,2016,Z3partners
Healofy,Series B,6000000,Bangalore,Healofy was created with a mission to experience special motherhood through its products and its inexhaustive and evergrowing babycare tips,Femtech,2021,2016,Celesta capital
E42,Series A,5400000,Pune,E42 is the world’s leading natural language processing- based ai platform driving enterprise cognition across processes.,Computer software,2021,2012,Pavestone ventures
Spottabl,Seed,400000,Bangalore,Spottabl is a technology driven recruitment platform that has helped over 50 tech startups and growth stage companies discover their top talent through its intelligent and human backed model.,Human resources,2021,2017,Letsventure
Dehaat,Series D,115000000,Gurugram,Dehaat™ is one of the fastest growing start-ups in agri tech sector and one of the very few companies providing end-to-end solutions and services to the farming community in india.,Information technology & services,2021,2012,Sofina
Shumee,Undisclosed,0,Bangalore,"An indian, mom-made toy brand passionate about making playtime development-friendly, child-safe, and sustainable. our design philosophy is that play is 90% child and 10% toy.",Retail,2021,2014,Dia mirza
Zolve,Series A,40000000,Bangalore,World's first cross-border neobank,Financial services,2021,2020,Dst global
Instoried,Undisclosed,8000000,Bangalore,"The platform helps content writers in e-commerce, news, fmcg, and other verticals to optimize emotions in their marketing content.",Computer software,2021,2018,Pritt investment partners
Sportzchain,Seed,400000,Mumbai,Sportzchain is india's first blockchain based platform poised to disrupt a multi-billion dollar fan engagement industry.,Sports,2021,2021,Darq capital
Hypto,Seed,3000000,Chennai,The next generation of web services that democratize access to finance for developers and businesses.,Tech startup,2021,2018,Stellaris venture partners
Chupps,Series B,1100000,Mumbai,D2c footwear brand,Foootwear,2021,2016,Venture catalysts
Zenduty,Series B,1900000,Bangalore,"Next-generation end-to-end incident response platform for sres, devops, itops and support teams",Computer software,2021,2019,Startupxseed ventures
R for rabbit,Undisclosed,5000000,Ahmedabad,The concept of r for rabbit was conceived after the founder of the company was blessed with a baby.,Consumer goods,2021,2014,Xponentia capital partners
Acko,Series D,255000000,Bangalore,Acko is india’s first and fastest growing insurtech company which makes buying and using insurance effortless.,Insurance,2021,2016,General atlantic
Lovelocal,Series B,18000000,Mumbai,Lovelocal (formerly known as m.paani) is bringing trusted local shops online and empowering them to deliver the neighbourhood shopping experience of the future.,Retail,2021,2015,Vulcan capital
Supplynote,Series B,1200000,Noida,"Supplynote is cloud based web and mobile enabled suite connecting outlets, service providers and suppliers.",Food and Beverages,2021,2015,Venture catalysts
Vakilsearch,Undisclosed,10000000,Chennai,"India's largest legal, compliance & tax services platform, and trusted partner in making legal simple!",Legal services,2021,2010,Incorp india
